,개방서비스명,상세영업상태코드,상세영업상태명,소재지전체주소,사업장명,업태구분명,시도,시군구,시도 시군구
9327,단란주점영업,1,영업,부산광역시 해운대구 우동 644-2번지 다올빌딩,빅브라더,단란주점,부산광역시,해운대구,부산광역시 해운대구
9328,단란주점영업,1,영업,부산광역시 해운대구 우동 1434-1 마리나센타,주식회사 체스154,단란주점,부산광역시,해운대구,부산광역시 해운대구
9329,단란주점영업,1,영업,부산광역시 수영구 수영동 447-20번지,팡팡노래주점,단란주점,부산광역시,수영구,부산광역시 수영구
9330,단란주점영업,1,영업,부산광역시 수영구 광안동 744-7번지,대박,단란주점,부산광역시,수영구,부산광역시 수영구
9331,단란주점영업,1,영업,부산광역시 수영구 광안동 173-20번지 지하1층,주엔주7080,단란주점,부산광역시,수영구,부산광역시 수영구
9332,단란주점영업,1,영업,부산광역시 수영구 민락동 176-29,샤롯데,단란주점,부산광역시,수영구,부산광역시 수영구
9333,단란주점영업,1,영업,부산광역시 수영구 남천동 10-7번지 지하1동,티파니,단란주점,부산광역시,수영구,부산광역시 수영구
9334,단란주점영업,1,영업,부산광역시 수영구 광안동 207-5 지하1층,바나나,단란주점,부산광역시,수영구,부산광역시 수영구
9335,단란주점영업,1,영업,부산광역시 수영구 남천동 11-8,힐노래주점,단란주점,부산광역시,수영구,부산광역시 수영구
9336,단란주점영업,1,영업,부산광역시 금정구 구서동 86-49번지,이어도 오비,단란주점,부산광역시,금정구,부산광역시 금정구
9337,단란주점영업,1,영업,부산광역시 금정구 부곡동 890-13번지,호수단란,단란주점,부산광역시,금정구,부산광역시 금정구
9338,단란주점영업,1,영업,부산광역시 금정구 부곡동 396-30번지,수 단란주점,단란주점,부산광역시,금정구,부산광역시 금정구
9339,단란주점영업,1,영업,부산광역시 금정구 장전동 596-5번지,잎새단란주점,단란주점,부산광역시,금정구,부산광역시 금정구
9340,단란주점영업,1,영업,부산광역시 금정구 부곡동 60-17번지,금달래,단란주점,부산광역시,금정구,부산광역시 금정구
9341,단란주점영업,1,영업,부산광역시 금정구 구서동 85-30,별천지,단란주점,부산광역시,금정구,부산광역시 금정구
9342,단란주점영업,1,영업,부산광역시 금정구 서동 122-20번지,세노야 노래주점,단란주점,부산광역시,금정구,부산광역시 금정구
9343,단란주점영업,1,영업,부산광역시 금정구 부곡동 386-11번지,함양 단란주점,단란주점,부산광역시,금정구,부산광역시 금정구
9344,단란주점영업,1,영업,부산광역시 금정구 부곡동 392-30번지,여명단란주점,단란주점,부산광역시,금정구,부산광역시 금정구
9345,단란주점영업,1,영업,부산광역시 금정구 장전동 652-39번지,다락방단란주점,단란주점,부산광역시,금정구,부산광역시 금정구
9346,단란주점영업,1,영업,부산광역시 금정구 서동 197-22번지,금발노래주점,단란주점,부산광역시,금정구,부산광역시 금정구
9347,단란주점영업,1,영업,부산광역시 금정구 서동 119-27번지,유진 단란주점,단란주점,부산광역시,금정구,부산광역시 금정구
9348,단란주점영업,1,영업,부산광역시 금정구 장전동 414-19번지,아지트,단란주점,부산광역시,금정구,부산광역시 금정구
9349,단란주점영업,1,영업,부산광역시 금정구 부곡동 313-41번지,한울림 단란주점,단란주점,부산광역시,금정구,부산광역시 금정구
9350,단란주점영업,1,영업,부산광역시 금정구 서동 340-27,동백노래주점,단란주점,부산광역시,금정구,부산광역시 금정구
9351,단란주점영업,1,영업,부산광역시 금정구 서동 199-35번지,모델,단란주점,부산광역시,금정구,부산광역시 금정구
9352,단란주점영업,1,영업,부산광역시 금정구 부곡동 395-1번지,네온싸인노래주점,단란주점,부산광역시,금정구,부산광역시 금정구
9353,단란주점영업,1,영업,부산광역시 금정구 서동 297-394,오르라,단란주점,부산광역시,금정구,부산광역시 금정구
9354,단란주점영업,1,영업,부산광역시 금정구 남산동 112-11,찐 노래방,단란주점,부산광역시,금정구,부산광역시 금정구
9355,단란주점영업,1,영업,부산광역시 금정구 남산동 101-32,금호,단란주점,부산광역시,금정구,부산광역시 금정구
9356,단란주점영업,1,영업,부산광역시 수영구 민락동 184-31번지,영사관,단란주점,부산광역시,수영구,부산광역시 수영구
9357,단란주점영업,1,영업,부산광역시 수영구 망미동 826-99번지 지하1층,쮸쮸원탁가라오케,단란주점,부산광역시,수영구,부산광역시 수영구
9358,단란주점영업,1,영업,부산광역시 금정구 부곡동 386-12번지,화니,단란주점,부산광역시,금정구,부산광역시 금정구
9359,단란주점영업,1,영업,부산광역시 수영구 남천동 558-3,호박단란주점,단란주점,부산광역시,수영구,부산광역시 수영구
9360,단란주점영업,1,영업,부산광역시 수영구 남천동 558-8 3층,에즈원,단란주점,부산광역시,수영구,부산광역시 수영구
