성별,행정구역별,시점,평균시간 (시간)
전체,인천광역시 부평구,2017,6.5
전체,인천광역시 부평구,2018,6.5
전체,인천광역시 부평구,2019,6.4
전체,인천광역시 서구,2015,6.5
전체,인천광역시 서구,2016,6.6
전체,인천광역시 서구,2017,6.5
전체,인천광역시 서구,2018,6.5
전체,인천광역시 서구,2019,6.7
전체,인천광역시 연수구,2015,6.4
전체,인천광역시 연수구,2016,6.5
전체,인천광역시 연수구,2017,6.5
전체,인천광역시 연수구,2018,6.6
전체,인천광역시 연수구,2019,6.5
전체,인천광역시 옹진군,2015,6.8
전체,인천광역시 옹진군,2016,6.6
전체,인천광역시 옹진군,2017,6.5
전체,인천광역시 옹진군,2018,6.8
전체,인천광역시 옹진군,2019,6.6
전체,인천광역시 중구,2015,6.5
전체,인천광역시 중구,2016,6.6
전체,인천광역시 중구,2017,6.6
전체,인천광역시 중구,2018,6.7
전체,인천광역시 중구,2019,6.6
전체,광주광역시,2015,6.5
전체,광주광역시,2016,6.6
전체,광주광역시,2017,6.6
전체,광주광역시,2018,6.7
전체,광주광역시,2019,6.6
전체,광주광역시 광산구,2015,6.6
전체,광주광역시 광산구,2016,6.8
전체,광주광역시 광산구,2017,6.7
전체,광주광역시 광산구,2018,6.9
전체,광주광역시 광산구,2019,6.6
전체,광주광역시 남구,2015,6.6
전체,광주광역시 남구,2016,6.5
전체,광주광역시 남구,2017,6.6
전체,광주광역시 남구,2018,6.8
전체,광주광역시 남구,2019,6.6
전체,광주광역시 동구,2015,6.5
전체,광주광역시 동구,2016,6.5
전체,광주광역시 동구,2017,6.5
전체,광주광역시 동구,2018,6.6
전체,광주광역시 동구,2019,6.6
전체,광주광역시 북구,2015,6.5
전체,광주광역시 북구,2016,6.6
전체,광주광역시 북구,2017,6.5
전체,광주광역시 북구,2018,6.6
전체,광주광역시 북구,2019,6.6
전체,광주광역시 서구,2015,6.5
전체,광주광역시 서구,2016,6.7
전체,광주광역시 서구,2017,6.6
전체,광주광역시 서구,2018,6.6
전체,광주광역시 서구,2019,6.6
전체,대전광역시,2015,6.6
전체,대전광역시,2016,6.6
전체,대전광역시,2017,6.6
전체,대전광역시,2018,6.6
전체,대전광역시,2019,6.6
전체,대전광역시 대덕구,2015,6.5
전체,대전광역시 대덕구,2016,6.5
전체,대전광역시 대덕구,2017,6.5
전체,대전광역시 대덕구,2018,6.5
전체,대전광역시 대덕구,2019,6.7
전체,대전광역시 동구,2015,6.4
전체,대전광역시 동구,2016,6.4
전체,대전광역시 동구,2017,6.5
전체,대전광역시 동구,2018,6.4
전체,대전광역시 동구,2019,6.4
전체,대전광역시 서구,2015,6.6
전체,대전광역시 서구,2016,6.7
전체,대전광역시 서구,2017,6.7
전체,대전광역시 서구,2018,6.6
전체,대전광역시 서구,2019,6.6
전체,대전광역시 유성구,2015,6.6
전체,대전광역시 유성구,2016,6.6
전체,대전광역시 유성구,2017,6.5
전체,대전광역시 유성구,2018,6.7
전체,대전광역시 유성구,2019,6.7
전체,대전광역시 중구,2015,6.5
전체,대전광역시 중구,2016,6.5
전체,대전광역시 중구,2017,6.6
전체,대전광역시 중구,2018,6.7
전체,대전광역시 중구,2019,6.7
전체,울산광역시,2015,6.6
전체,울산광역시,2016,6.6
전체,울산광역시,2017,6.6
전체,울산광역시,2018,6.6
전체,울산광역시,2019,6.6
전체,울산광역시 남구,2015,6.5
전체,울산광역시 남구,2016,6.5
전체,울산광역시 남구,2017,6.5
전체,울산광역시 남구,2018,6.5
전체,울산광역시 남구,2019,6.6
전체,울산광역시 동구,2015,6.6
전체,울산광역시 동구,2016,6.6
전체,울산광역시 동구,2017,6.7
전체,울산광역시 동구,2018,6.7
전체,울산광역시 동구,2019,6.6
전체,울산광역시 북구,2015,6.6
전체,울산광역시 북구,2016,6.5
전체,울산광역시 북구,2017,6.5
전체,울산광역시 북구,2018,6.6
전체,울산광역시 북구,2019,6.7
전체,울산광역시 울주군,2015,6.7
전체,울산광역시 울주군,2016,6.6
전체,울산광역시 울주군,2017,6.6
전체,울산광역시 울주군,2018,6.6
전체,울산광역시 울주군,2019,6.6
전체,울산광역시 중구,2015,6.5
전체,울산광역시 중구,2016,6.5
전체,울산광역시 중구,2017,6.6
전체,울산광역시 중구,2018,6.8
전체,울산광역시 중구,2019,6.6
전체,세종특별자치시,2015,6.5
전체,세종특별자치시,2016,6.6
전체,세종특별자치시,2017,6.6
전체,세종특별자치시,2018,6.8
전체,세종특별자치시,2019,6.6
전체,세종특별자치시 세종시,2015,6.5
전체,세종특별자치시 세종시,2016,6.6
전체,세종특별자치시 세종시,2017,6.6
전체,세종특별자치시 세종시,2018,6.8
전체,세종특별자치시 세종시,2019,6.6
전체,경기도,2015,6.5
전체,경기도,2016,6.5
전체,경기도,2017,6.5
전체,경기도,2018,6.7
전체,경기도,2019,6.6
전체,경기도 가평군,2015,6.5
전체,경기도 가평군,2016,6.6
전체,경기도 가평군,2017,6.6
전체,경기도 가평군,2018,6.9
전체,경기도 가평군,2019,6.6
전체,경기도 고양시,2015,6.5
전체,경기도 고양시,2016,6.4
전체,경기도 고양시,2017,6.5
전체,경기도 고양시,2018,6.6
전체,경기도 고양시,2019,6.5
전체,경기도 과천시,2015,6.4
전체,경기도 과천시,2016,6.6
전체,경기도 과천시,2017,6.6
전체,경기도 과천시,2018,6.7
전체,경기도 과천시,2019,6.6
전체,경기도 구리시,2015,6.5
전체,경기도 구리시,2016,6.6
전체,경기도 구리시,2017,6.5
전체,경기도 구리시,2018,6.8
전체,경기도 구리시,2019,6.6
전체,경기도 김포시,2015,6.7
전체,경기도 김포시,2016,6.6
전체,경기도 김포시,2017,6.7
전체,경기도 김포시,2018,6.8
전체,경기도 김포시,2019,6.5
전체,경기도 남양주시,2015,6.5
전체,경기도 남양주시,2016,6.4
전체,경기도 남양주시,2017,6.5
전체,경기도 남양주시,2018,6.6
전체,경기도 남양주시,2019,6.6
전체,경기도 동두천시,2015,6.4
전체,경기도 동두천시,2016,6.6
전체,경기도 동두천시,2017,6.6
전체,경기도 동두천시,2018,6.7
전체,경기도 동두천시,2019,6.7
전체,경기도 부천시,2015,6.5
전체,경기도 부천시,2016,6.5
전체,경기도 부천시,2017,6.5
전체,경기도 부천시,2018,6.6
전체,경기도 부천시,2019,6.5
전체,경기도 양주시,2015,6.6
전체,경기도 양주시,2016,6.6
전체,경기도 양주시,2017,6.6
전체,경기도 양주시,2018,6.7
전체,경기도 양주시,2019,6.6
전체,경기도 양평군,2015,6.5
전체,경기도 양평군,2016,6.7
전체,경기도 양평군,2017,6.6
전체,경기도 양평군,2018,6.9
전체,경기도 양평군,2019,6.6
전체,경기도 여주군,2018,0
전체,경기도 여주시,2015,6.7
전체,경기도 여주시,2016,6.6
전체,경기도 여주시,2017,6.6
전체,경기도 여주시,2018,6.8
전체,경기도 여주시,2019,6.8
전체,경기도 연천군,2015,6.6
전체,경기도 연천군,2016,6.7
전체,경기도 연천군,2017,6.6
전체,경기도 연천군,2018,6.8
전체,경기도 연천군,2019,6.6
전체,경기도 의정부시,2015,6.5
전체,경기도 의정부시,2016,6.4
전체,경기도 의정부시,2017,6.5
전체,경기도 의정부시,2018,6.8
