영업상태구분코드,소재지면적,소재지전체주소,사업장명,위생업태명,시도,시군구,시도 시군구
1,102.06,경상북도 구미시 황상동 318-14 지하,인동오빠노래주점,룸살롱,경상북도,구미시,경상북도 구미시
1,65.52,경상북도 구미시 원평동 130-23,신화가요주점,카바레,경상북도,구미시,경상북도 구미시
1,57.63,경상북도 구미시 송정동 456-10 지하,팡팡노래광장주점,기타,경상북도,구미시,경상북도 구미시
1,123.76,경상북도 구미시 사곡동 515-6 2층,마돈나노래주점,기타,경상북도,구미시,경상북도 구미시
1,110.66,경상북도 구미시 원평동 1037-40,라이브가요주점,기타,경상북도,구미시,경상북도 구미시
1,126.1,경상북도 구미시 원평동 1069-10 지하,티파니가요주점,룸살롱,경상북도,구미시,경상북도 구미시
1,239.04,경상북도 영주시 영주동 549-11,나비,기타,경상북도,영주시,경상북도 영주시
1,91.14,경상북도 영주시 휴천동 303-16 2층,둥근달,기타,경상북도,영주시,경상북도 영주시
1,36.36,경상북도 울진군 죽변면 죽변리 36-47,토마토,룸살롱,경상북도,울진군,경상북도 울진군
1,141.34,경상북도 울진군 죽변면 죽변리 32-2번지,J노래방,룸살롱,경상북도,울진군,경상북도 울진군
1,236.21,경상북도 구미시 인의동 558-8 외1필지 (지번확정),닉스,룸살롱,경상북도,구미시,경상북도 구미시
1,194.4,경상북도 영주시 휴천동 304-7 (지상2층),야생화가요광장,기타,경상북도,영주시,경상북도 영주시
1,141.68,경상북도 영주시 풍기읍 서부리 143-1,벤츠가요주점,고고(디스코)클럽,경상북도,영주시,경상북도 영주시
1,227.95,경상북도 영주시 영주동 338-4 외 1필지,월드컵가요싸롱,룸살롱,경상북도,영주시,경상북도 영주시
1,147.44,경상북도 울진군 죽변면 죽변리 429-3번지,텔랜트노래주점,룸살롱,경상북도,울진군,경상북도 울진군
1,169.25,경상북도 울진군 죽변면 죽변리 32-53번지,강남 스타일,룸살롱,경상북도,울진군,경상북도 울진군
1,259.41,경상북도 울진군 온정면 소태리 940-1,동경노래방,간이주점,경상북도,울진군,경상북도 울진군
1,,경상북도 울진군 후포면 후포리 339-6번지,스카이 룸 비지니스,룸살롱,경상북도,울진군,경상북도 울진군
1,143.97,경상북도 울진군 울진읍 읍내리 315-4,몰디브,룸살롱,경상북도,울진군,경상북도 울진군
1,91.17,경상북도 울진군 울진읍 읍내리 510-5,모스크바노래주점,룸살롱,경상북도,울진군,경상북도 울진군
1,142.56,경상북도 울진군 온정면 소태리 1453-1 2층,장녹수여인천하,룸살롱,경상북도,울진군,경상북도 울진군
1,127.77,경상북도 울진군 울진읍 읍내리 135-5,에쿠스가요주점,룸살롱,경상북도,울진군,경상북도 울진군
1,127.03,경상북도 울진군 후포면 후포리 297-42,버킹검룸가요방,룸살롱,경상북도,울진군,경상북도 울진군
1,,경상북도 울진군 북면 부구리 167-3번지,반줄,룸살롱,경상북도,울진군,경상북도 울진군
1,104.35,"경상북도 울진군 죽변면 죽변리 392-1번지 ,2",세븐,룸살롱,경상북도,울진군,경상북도 울진군
1,130.8,경상북도 울진군 죽변면 죽변리 390-77번지,대왕노래주점,룸살롱,경상북도,울진군,경상북도 울진군
1,91.61,경상북도 울진군 울진읍 읍내리 437-6,비지니스,룸살롱,경상북도,울진군,경상북도 울진군
1,,경상북도 울진군 울진읍 읍내리 82-23번지,준노래랑,룸살롱,경상북도,울진군,경상북도 울진군
1,227.04,경상북도 울진군 후포면 후포리 339-12,벤츠룸가요주점,룸살롱,경상북도,울진군,경상북도 울진군
1,50.88,경상북도 울진군 온정면 소태리 1453-1,AM가요주점,룸살롱,경상북도,울진군,경상북도 울진군
1,113.8,경상북도 울진군 울진읍 읍내리 315-3,발리,룸살롱,경상북도,울진군,경상북도 울진군
1,96.56,경상북도 울진군 죽변면 죽변리 255-5번지,애플가요주점,룸살롱,경상북도,울진군,경상북도 울진군
1,91.48,경상북도 울진군 울진읍 읍내리 441-1,우방주점,룸살롱,경상북도,울진군,경상북도 울진군
1,89.57,경상북도 울진군 북면 부구리 171-5번지 2층,BMW노래클럽,룸살롱,경상북도,울진군,경상북도 울진군
1,122.7,경상북도 울진군 울진읍 읍내리 82-13번지,야누스 주점,룸살롱,경상북도,울진군,경상북도 울진군
1,,경상북도 울진군 죽변면 죽변리 36-45번지,붕붕노래방,룸살롱,경상북도,울진군,경상북도 울진군
1,93.26,경상북도 울진군 울진읍 읍내리 82-24,로마노래마당,룸살롱,경상북도,울진군,경상북도 울진군
1,,경상북도 울진군 울진읍 읍내리 435-10번지,발렌타인 가요주점,룸살롱,경상북도,울진군,경상북도 울진군
1,315.54,경상북도 울진군 온정면 소태리 946,힐링나이트,카바레,경상북도,울진군,경상북도 울진군
1,145.97,경상북도 울진군 북면 부구리 164-2,기분좋은노래궁,룸살롱,경상북도,울진군,경상북도 울진군
1,148.35,경상북도 울진군 근남면 노음리 325-11번지,헤라,룸살롱,경상북도,울진군,경상북도 울진군
1,149.04,경상북도 울진군 후포면 후포리 297-10번지,리무진,룸살롱,경상북도,울진군,경상북도 울진군
1,71.74,경상북도 울진군 죽변면 죽변리 402번지,왕눈이노래주점,룸살롱,경상북도,울진군,경상북도 울진군
1,147.05,경상북도 울진군 북면 부구리 179-3,기린룸,룸살롱,경상북도,울진군,경상북도 울진군
1,147.48,경상북도 울진군 울진읍 읍내리 284-1번지,젬마가요주점,룸살롱,경상북도,울진군,경상북도 울진군
1,,경상북도 울진군 울진읍 읍내리 82-2번지,올인,룸살롱,경상북도,울진군,경상북도 울진군
1,,경상북도 울진군 울진읍 읍내리 296-3번지,그랜드 가요주점,룸살롱,경상북도,울진군,경상북도 울진군
1,,경상북도 울진군 평해읍 평해리 830-2번지,스타룸가요방,룸살롱,경상북도,울진군,경상북도 울진군
1,146.7,경상북도 울진군 죽변면 죽변리 408-6,설탕가요주점,룸살롱,경상북도,울진군,경상북도 울진군
1,,경상북도 울진군 죽변면 죽변리 32-5번지,행운노래주점,룸살롱,경상북도,울진군,경상북도 울진군
1,121.24,경상북도 울진군 후포면 후포리 337-1번지,애인가요주점,룸살롱,경상북도,울진군,경상북도 울진군
1,1002.34,"경상북도 구미시 원평동 1053-10 2,3층",오디션,고고(디스코)클럽,경상북도,구미시,경상북도 구미시
1,123.96,경상북도 구미시 송정동 458-11 지하1층,보배노래주점,룸살롱,경상북도,구미시,경상북도 구미시
1,84.65,경상북도 구미시 진평동 64-2 1층,수가요주점,노래클럽,경상북도,구미시,경상북도 구미시
1,88,경상북도 구미시 원평동 1077-11 지하1층,클럽이태원,노래클럽,경상북도,구미시,경상북도 구미시
1,252.72,경상북도 고령군 대가야읍 쾌빈리 499번지,파라다이스,기타,경상북도,고령군,경상북도 고령군
1,119.12,경상북도 고령군 대가야읍 헌문리 230-1번지,코리아주점,기타,경상북도,고령군,경상북도 고령군
1,126.28,경상북도 고령군 성산면 삼대리 90-1 지하1층,에이스가요주점,기타,경상북도,고령군,경상북도 고령군
1,120.76,경상북도 영주시 풍기읍 성내리 48 외1필지(지하1층),호박통,기타,경상북도,영주시,경상북도 영주시
1,73.8,경상북도 영주시 가흥동 1381-49,블링블링,기타,경상북도,영주시,경상북도 영주시
1,124.37,경상북도 구미시 진평동 84-7 32B7L,진평황진이노래주점,룸살롱,경상북도,구미시,경상북도 구미시
1,185.6,경상북도 구미시 송정동 447-2 지하1층,대원,룸살롱,경상북도,구미시,경상북도 구미시
1,130.86,경상북도 구미시 황상동 318-15,스파크노래주점,룸살롱,경상북도,구미시,경상북도 구미시
1,126.32,경상북도 구미시 진평동 84-2 1층,해운대주점,룸살롱,경상북도,구미시,경상북도 구미시
1,119.2,경상북도 구미시 원평동 1037-1,이즈노래타운주점,룸살롱,경상북도,구미시,경상북도 구미시
1,123.08,경상북도 구미시 진평동 85-1 1동,아우디송경주점,기타,경상북도,구미시,경상북도 구미시
1,45.2,경상북도 영주시 휴천동 307-8,세바퀴,기타,경상북도,영주시,경상북도 영주시
1,25.11,경상북도 영주시 휴천동 301-21,싱싱가요주점,기타,경상북도,영주시,경상북도 영주시
1,32.25,경상북도 영주시 휴천동 309-1,뮤즈가요주점,기타,경상북도,영주시,경상북도 영주시
1,55.46,경상북도 영주시 영주동 534-7,서울가요랜드,기타,경상북도,영주시,경상북도 영주시
1,80.89,경상북도 영주시 영주동 550-16 (지상2층),땡큐,기타,경상북도,영주시,경상북도 영주시
1,208.9,경상북도 영주시 하망동 344-71 (지상3층),사랑궁가요주점,기타,경상북도,영주시,경상북도 영주시
1,146.1,경상북도 영주시 영주동 344-1 (지상2층),리치가요주점,기타,경상북도,영주시,경상북도 영주시
1,128.51,"경상북도 영주시 휴천동 328-1 외 1필지, 대호프라자 지하 101호",가요주점한,기타,경상북도,영주시,경상북도 영주시
1,22.94,경상북도 영주시 영주동 534-15,찬스노래클럽,기타,경상북도,영주시,경상북도 영주시
1,43.84,경상북도 영주시 하망동 350-27,밀양,기타,경상북도,영주시,경상북도 영주시
1,100.12,경상북도 영주시 휴천동 310-9번지 지하1층,이화,기타,경상북도,영주시,경상북도 영주시
1,63.2,"경상북도 영주시 휴천동 307-22 102, 103호",애플가요주점,기타,경상북도,영주시,경상북도 영주시
1,201.46,경상북도 고령군 운수면 신간리 372,퀸가요주점,기타,경상북도,고령군,경상북도 고령군
1,63.35,경상북도 고령군 쌍림면 귀원리 327-3번지,하얀궁전가요주점,기타,경상북도,고령군,경상북도 고령군
1,130.36,경상북도 고령군 쌍림면 고곡리 901,2002월드컵주점,기타,경상북도,고령군,경상북도 고령군
1,155.52,경상북도 고령군 대가야읍 쾌빈리 492-2,힐튼가요주점,기타,경상북도,고령군,경상북도 고령군
1,208.38,경상북도 고령군 대가야읍 쾌빈리 508-3,예향,룸살롱,경상북도,고령군,경상북도 고령군
1,113.85,경상북도 고령군 대가야읍 지산리 222-16,월하,노래클럽,경상북도,고령군,경상북도 고령군
1,31.2,경상북도 영주시 영주동 534-21 534-22,애모,기타,경상북도,영주시,경상북도 영주시
1,103.94,경상북도 영주시 하망동 549-6 (지상5층),씨저스,기타,경상북도,영주시,경상북도 영주시
1,101.87,경상북도 영주시 부석면 소천리 387-15 (지하1층),별빛가요주점,기타,경상북도,영주시,경상북도 영주시
1,77,경상북도 영주시 휴천동 301-5 (지상2층),파랑새,기타,경상북도,영주시,경상북도 영주시
1,121.23,경상북도 영주시 휴천동 327-4 (지상2층),풍차가요주점,기타,경상북도,영주시,경상북도 영주시
1,19.74,경상북도 영주시 영주동 534-14,빙고,기타,경상북도,영주시,경상북도 영주시
