개방서비스명,상세영업상태코드,상세영업상태명,소재지전체주소,사업장명,업태구분명
단란주점영업,1,영업,경상북도 상주시 사벌면 덕담리 481-10번지,장녹수단란주점,단란주점
단란주점영업,1,영업,경상북도 상주시 서성동 125-5번지,백악관회관,단란주점
단란주점영업,1,영업,경상북도 상주시 무양동 213-5번지,곶감회관,단란주점
단란주점영업,1,영업,경상북도 청도군 청도읍 고수리 754-5,리버사이드단란주점,단란주점
단란주점영업,1,영업,경상북도 청도군 풍각면 흑석리 760-1,솔정단란주점,단란주점
단란주점영업,1,영업,경상북도 청도군 화양읍 합천리 387,뉴월드단란주점,단란주점
단란주점영업,1,영업,경상북도 청도군 금천면 오봉리 230번지,청둥오리이모집단란주점,단란주점
단란주점영업,1,영업,경상북도 청도군 풍각면 송서리 724-12번지,우리집단란주점,단란주점
단란주점영업,1,영업,경상북도 김천시 황금동 16-15,황금라이브단란주점,단란주점
단란주점영업,1,영업,경상북도 김천시 평화동 117-3번지,동광단란주점,단란주점
단란주점영업,1,영업,경상북도 성주군 성주읍 경산리 23-5번지,미주 단란주점,단란주점
단란주점영업,1,영업,경상북도 성주군 성주읍 경산리 60-21번지,에이스단란주점,단란주점
단란주점영업,1,영업,경상북도 성주군 초전면 대장리 653-9번지,두바이투,단란주점
단란주점영업,1,영업,경상북도 김천시 평화동 245-89번지,소리바다,단란주점
단란주점영업,1,영업,경상북도 김천시 황금동 20-27,예원단란주점,단란주점
단란주점영업,1,영업,경상북도 성주군 초전면 대장리 710-43번지,왕실단란주점,단란주점
단란주점영업,1,영업,경상북도 성주군 성주읍 경산리 82-1,비엔나,단란주점
단란주점영업,1,영업,경상북도 청도군 매전면 동산리 216-22,보슬비단란주점,단란주점
단란주점영업,1,영업,경상북도 청도군 매전면 동산리 216-14번지,청궁단란주점,단란주점
단란주점영업,1,영업,경상북도 청도군 금천면 동곡리 933-3,별궁원,단란주점
단란주점영업,1,영업,경상북도 청도군 청도읍 고수리 757-1번지,영창단란주점,단란주점
단란주점영업,1,영업,경상북도 청도군 각북면 우산리 283,고향단란주점,단란주점
단란주점영업,1,영업,경상북도 청도군 청도읍 고수리 1034-8번지,여우단란주점,단란주점
단란주점영업,1,영업,경상북도 청도군 금천면 동곡리 926,제우스단란주점,단란주점
단란주점영업,1,영업,경상북도 청도군 운문면 신원리 2048번지,초이스,단란주점
단란주점영업,1,영업,경상북도 청도군 청도읍 유호리 520-1번지,태평양단란주점,단란주점
단란주점영업,1,영업,경상북도 청도군 청도읍 고수리 478-153번지,부이아이피(VIP)단란주점,단란주점
단란주점영업,1,영업,경상북도 청도군 금천면 동곡리 793-5번지,티파니단란주점,단란주점
단란주점영업,1,영업,경상북도 의성군 안계면 용기리 850-111,맘모스단란주점,단란주점
단란주점영업,1,영업,경상북도 의성군 안계면 토매리 110-4번지,아리랑단란주점,단란주점
단란주점영업,1,영업,경상북도 의성군 안계면 용기리 849-28번지,키스단란주점,단란주점
단란주점영업,1,영업,경상북도 의성군 안계면 용기리 839-30,비지니스단란주점,단란주점
단란주점영업,1,영업,경상북도 영덕군 영덕읍 화개리 516,무릉산단란주점,단란주점
단란주점영업,1,영업,경상북도 영덕군 남정면 장사리 68-8,푸른바다,단란주점
단란주점영업,1,영업,경상남도 김해시 삼계동 1479-1번지 6층호,필단란주점,단란주점
단란주점영업,1,영업,경상남도 김해시 삼계동 1461-5번지 302호,스고이단란주점,단란주점
단란주점영업,1,영업,경상남도 김해시 삼계동 1488-5번지 2층,별이빛나는밤에,단란주점
단란주점영업,1,영업,경상남도 김해시 어방동 1095-14번지,은성가라오케,단란주점
단란주점영업,1,영업,경상남도 김해시 삼방동 172-11번지 에이스빌딩 301호,뮤즈노래타운2,단란주점
단란주점영업,1,영업,경상남도 김해시 내동 1122-4번지 동화선프라자 803호,더큐브노래주점,단란주점
단란주점영업,1,영업,경상남도 김해시 삼계동 1487-4번지,락휴노래타운,단란주점
단란주점영업,1,영업,경상남도 김해시 부원동 833-9번지,따완뎅,단란주점
단란주점영업,1,영업,경상남도 김해시 동상동 896,리라타단란주점,단란주점
단란주점영업,1,영업,,발리피아노비지니스클럽,단란주점
단란주점영업,1,영업,,설탕원탁가라오케,단란주점
단란주점영업,1,영업,,얼짱단란주점,단란주점
단란주점영업,1,영업,,마그마II,단란주점
단란주점영업,1,영업,,글로88,단란주점
단란주점영업,1,영업,,짱노래타운,단란주점
단란주점영업,1,영업,경상남도 김해시 어방동 1093-1번지,나이스데이,단란주점
단란주점영업,1,영업,경상남도 김해시 진례면 송정리 233-3번지,쌍쌍단란주점,단란주점
단란주점영업,1,영업,경상남도 김해시 어방동 1094-15,세시봉,단란주점
단란주점영업,1,영업,경상남도 김해시 삼계동 1490-3,퀸단란주점,단란주점
단란주점영업,1,영업,경상남도 김해시 내동 1142-3,인피니티 맥 라이브,단란주점
단란주점영업,1,영업,경상남도 김해시 삼계동 1509-11번지,금화단란주점,단란주점
단란주점영업,1,영업,경상남도 김해시 대청동 68-6 녹원빌딩1001호,퓨전더락노래타운,단란주점
단란주점영업,1,영업,경상남도 김해시 대청동 72-3,앵콜단란주점,단란주점
단란주점영업,1,영업,,시카고노래빠,단란주점
단란주점영업,1,영업,경상남도 김해시 삼계동 1487-1 동광빌딩 301호,바다단란주점,단란주점
단란주점영업,1,영업,경상남도 김해시 외동 1252-5번지 5층,상상,단란주점
단란주점영업,1,영업,경상남도 김해시 관동동 461-3번지,VIP단란주점,단란주점
단란주점영업,1,영업,경상남도 김해시 진영읍 1612-5,라이브원투쓰리,단란주점
단란주점영업,1,영업,경상남도 김해시 외동 1257-2번지 메트로타워2- 204호,찜뽕뮤직타워단란주점,단란주점
단란주점영업,1,영업,경상남도 김해시 부원동 848-1번지,특급단란주점,단란주점
단란주점영업,1,영업,경상남도 김해시 부원동 760-7번지,금바다단란주점,단란주점
단란주점영업,1,영업,경상남도 김해시 부원동 841-3번지,두돌단란주점,단란주점
단란주점영업,1,영업,경상남도 김해시 외동 706-1번지,동양단란주점,단란주점
단란주점영업,1,영업,경상남도 김해시 부원동 603-9번지,비목,단란주점
단란주점영업,1,영업,경상남도 양산시 평산동 108-2,아바(ABBA)라이브,단란주점
단란주점영업,1,영업,경상남도 양산시 북부동 483-7번지,돌체라이브,단란주점
단란주점영업,1,영업,경상남도 양산시 물금읍 범어리 2711-3번지,오케이노래방,단란주점
단란주점영업,1,영업,경상남도 김해시 부원동 833-17,하루방단란주점,단란주점
단란주점영업,1,영업,경상남도 김해시 부원동 616-22번지,서울단란주점,단란주점
단란주점영업,1,영업,경상남도 김해시 어방동 530-4번지,오늘,단란주점
단란주점영업,1,영업,경상남도 김해시 진례면 송현리 203-3번지,체리단란주점,단란주점
단란주점영업,1,영업,경상남도 양산시 물금읍 범어리 2711-20,스타단란주점,단란주점
단란주점영업,1,영업,경상남도 양산시 중부동 691-8 301호,더샵노래타운,단란주점
단란주점영업,1,영업,경상남도 양산시 중부동 691-1번지 블루시티 402호,락휴,단란주점
단란주점영업,1,영업,경상남도 양산시 덕계동 754-1번지 3006호,더불러 단란주점,단란주점
단란주점영업,1,영업,경상남도 양산시 중부동 688-16 (1층),부킹단란주점,단란주점
단란주점영업,1,영업,"경상남도 김해시 무계동 287-10 ,11",쿨단란주점,단란주점
단란주점영업,1,영업,경상남도 김해시 진영읍 여래리 700-6번지,아라비안단란주점,단란주점
단란주점영업,1,영업,경상남도 김해시 한림면 병동리 955-6번지,유림단란주점,단란주점
단란주점영업,1,영업,경상남도 김해시 부원동 833-22번지,강강단란주점,단란주점
단란주점영업,1,영업,경상남도 김해시 삼방동 177-9번지,낙원단란주점,단란주점
단란주점영업,1,영업,경상남도 김해시 삼방동 182-4번지,청실홍실,단란주점
단란주점영업,1,영업,경상남도 김해시 부원동 828-13,까꿍,단란주점
단란주점영업,1,영업,경상남도 김해시 어방동 473번지,나는가수다7080라이브,단란주점
단란주점영업,1,영업,경상남도 김해시 어방동 1094-11,황후,단란주점
단란주점영업,1,영업,경상남도 김해시 부원동 608-1번지,청동라이브클럽,단란주점
단란주점영업,1,영업,경상남도 김해시 외동 1254-2번지 네오프라자 302호,화등단란주점,단란주점
단란주점영업,1,영업,경상남도 김해시 부원동 850-1번지,흑란,단란주점
단란주점영업,1,영업,경상남도 김해시 진례면 346-3번지,오션단란주점,단란주점
단란주점영업,1,영업,경상남도 김해시 삼방동 177-1번지,파라곤단란주점,단란주점
단란주점영업,1,영업,경상남도 김해시 부원동 612-25,오케스트라,단란주점
단란주점영업,1,영업,경상남도 김해시 어방동 1095-2 (4층),천지단란주점,단란주점
단란주점영업,1,영업,경상남도 김해시 내덕동 220-2,딸기단란주점,단란주점
단란주점영업,1,영업,경상남도 김해시 무계동 222-7,황금노래포차,단란주점
단란주점영업,1,영업,경상남도 김해시 부원동 610-19번지,발렌타인노래주점,단란주점
단란주점영업,1,영업,경상남도 김해시 진영읍 여래리 700-25번지,캐리비안투단란주점,단란주점
단란주점영업,1,영업,경상남도 양산시 북부동 698-16번지,물소리,단란주점
단란주점영업,1,영업,경상남도 양산시 물금읍 범어리 2711-1 301호,테마노래주점,단란주점
단란주점영업,1,영업,경상남도 양산시 중부동 690-5,디오(DIO)노래주점,단란주점
단란주점영업,1,영업,경상남도 양산시 평산동 125-10,친구찾기,단란주점
단란주점영업,1,영업,경상남도 양산시 중부동 691-4번지 광장프라자 401호,지준코노래타운,단란주점
단란주점영업,1,영업,경상남도 김해시 주촌면 선지리 452-4 2층,제니스7080,단란주점
단란주점영업,1,영업,경상남도 김해시 진영읍 여래리 700-82번지,노찾사,단란주점
단란주점영업,1,영업,경상남도 김해시 진영읍 진영리 1613-2번지 NC타워605호,뮤직단란주점,단란주점
단란주점영업,1,영업,경상남도 김해시 삼계동 1478-8 (2층),잉카단란주점,단란주점
단란주점영업,1,영업,경상남도 김해시 삼계동 1487-5,코코카페,단란주점
단란주점영업,1,영업,경상남도 김해시 대청동 301-7 부자빌딩 402호,응답하라7080라이브,단란주점
단란주점영업,1,영업,경상남도 김해시 삼계동 1487-9번지 명성산업개발빌딩 502호,귀빈단란주점,단란주점
단란주점영업,1,영업,경상남도 김해시 삼계동 1489-6번지 502호,석화단란주점,단란주점
단란주점영업,1,영업,경상남도 김해시 어방동 521-5 유니시티빌딩 4층,제이앤비(J&B) 뮤직타운,단란주점
단란주점영업,1,영업,경상남도 김해시 무계동 191-38 지하1층,똥장군,단란주점
단란주점영업,1,영업,경상남도 김해시 외동 1252-5번지 4층,맥천7080,단란주점
단란주점영업,1,영업,경상남도 김해시 외동 1254-3번지,다운자,단란주점
단란주점영업,1,영업,경상남도 양산시 북부동 392-7번지,인테리단란주점,단란주점
단란주점영업,1,영업,경상남도 양산시 물금읍 범어리 673-14,킹카단란주점,단란주점
단란주점영업,1,영업,경상남도 양산시 덕계동 1257,섹소폰나라,단란주점
단란주점영업,1,영업,경상남도 양산시 북부동 431-6번지,도레미단란주점,단란주점
단란주점영업,1,영업,경상남도 양산시 덕계동 669-22번지,아침이슬,단란주점
단란주점영업,1,영업,경상남도 밀양시 삼문동 717-11번지 (2층),삐삐단란주점,단란주점
단란주점영업,1,영업,경상남도 밀양시 단장면 구천리 2052-6,천황산 단란주점,단란주점
단란주점영업,1,영업,경상남도 양산시 북부동 185번지,귀로단란주점,단란주점
단란주점영업,1,영업,경상남도 양산시 물금읍 범어리 550-8번지,앵콜,단란주점
단란주점영업,1,영업,경상남도 양산시 물금읍 범어리 681-9 2층,몸짱,단란주점
단란주점영업,1,영업,경상남도 양산시 북부동 435-1번지,필단란주점,단란주점
단란주점영업,1,영업,경상남도 양산시 물금읍 범어리 551-5번지,무지개,단란주점
단란주점영업,1,영업,경상남도 양산시 상북면 석계리 239-713번지,주고단란주점,단란주점
단란주점영업,1,영업,경상남도 양산시 물금읍 범어리 550-3번지,애플노래방,단란주점
단란주점영업,1,영업,경상남도 양산시 북부동 487-11번지 2층,모두모아,단란주점
단란주점영업,1,영업,경상남도 김해시 한림면 장방리 459-15번지,스피드단란주점,단란주점
단란주점영업,1,영업,경상남도 김해시 부원동 614-21번지,현대단란주점,단란주점
단란주점영업,1,영업,경상남도 김해시 부원동 828-21번지,에이스단란주점,단란주점
단란주점영업,1,영업,경상남도 양산시 중부동 367,시바단란주점,단란주점
단란주점영업,1,영업,경상남도 양산시 물금읍 범어리 2232-7번지,궁전단란주점,단란주점
단란주점영업,1,영업,경상남도 양산시 북부동 148-19번지,코리아마트식단란주점,단란주점
단란주점영업,1,영업,경상남도 양산시 북부동 686-9번지,크린스타단란주점,단란주점
단란주점영업,1,영업,경상남도 양산시 중부동 429-8번지,무궁화단란주점,단란주점
단란주점영업,1,영업,경상남도 양산시 북부동 686-1번지 외1필지,아유디,단란주점
단란주점영업,1,영업,경상남도 양산시 북부동 697-2번지,유진단란주점,단란주점
단란주점영업,1,영업,경상남도 양산시 상북면 석계리 239-7번지 13(2층),골든벨단란주점,단란주점
단란주점영업,1,영업,경상남도 양산시 하북면 순지리 577-2번지,올인,단란주점
단란주점영업,1,영업,경상남도 양산시 중부동 378-4 2층,백조노래방,단란주점
단란주점영업,1,영업,경상남도 양산시 북부동 490-6번지,보물섬 노래주점,단란주점
단란주점영업,1,영업,경상남도 양산시 북부동 485-3번지,맥심클럽단란주점,단란주점
단란주점영업,1,영업,경상남도 양산시 북부동 490-11,단아노래방,단란주점
단란주점영업,1,영업,경상남도 양산시 북부동 686-5번지,파트너단란주점,단란주점
단란주점영업,1,영업,경상남도 양산시 북부동 696-1번지,백조(白潮),단란주점
단란주점영업,1,영업,경상남도 양산시 덕계동 752-78번지 지하,수현노래방,단란주점
단란주점영업,1,영업,경상남도 양산시 평산동 103-6 대성관,보물섬7080,단란주점
단란주점영업,1,영업,경상남도 양산시 덕계동 751-4번지 지하1층,천사 단란주점,단란주점
단란주점영업,1,영업,경상남도 밀양시 삼문동 717-8 2층,통단란주점,단란주점
단란주점영업,1,영업,경상남도 밀양시 내일동 196-1,오렌지,단란주점
단란주점영업,1,영업,,밀양 끝장 라이브,단란주점
단란주점영업,1,영업,경상남도 양산시 물금읍 범어리 551-2번지,축제단란주점,단란주점
단란주점영업,1,영업,경상남도 양산시 북부동 686-12,새궁전단란주점,단란주점
단란주점영업,1,영업,경상남도 양산시 북부동 487-3 2층,마마오(MAMAO),단란주점
단란주점영업,1,영업,경상남도 양산시 중부동 690-1번지 양산시티타워 302호,맥스단란주점,단란주점
단란주점영업,1,영업,경상남도 양산시 중부동 688-11 송림타워(2층),빙고,단란주점
단란주점영업,1,영업,경상남도 양산시 원동면 대리 1040-1 에덴밸리리조트,밸리단란주점,단란주점
단란주점영업,1,영업,경상남도 김해시 부원동 829-1,비단란주점,단란주점
단란주점영업,1,영업,경상남도 김해시 어방동 1092-10번지,어리단란주점,단란주점
단란주점영업,1,영업,경상남도 김해시 진영읍 여래리 711-11번지,월드컵단란주점,단란주점
단란주점영업,1,영업,경상남도 김해시 부원동 620-4번지,허심청,단란주점
단란주점영업,1,영업,경상남도 김해시 한림면 311-9번지,풍차단란주점,단란주점
단란주점영업,1,영업,경상남도 양산시 동면 석산리 1482-7번지 2층,쇼킹,단란주점
단란주점영업,1,영업,경상남도 양산시 북부동 483-3,슈퍼문 노래주점,단란주점
단란주점영업,1,영업,경상남도 김해시 삼방동 184-2번지,사람과세상,단란주점
단란주점영업,1,영업,경상남도 김해시 어방동 465-5번지,밀알단란주점,단란주점
단란주점영업,1,영업,경상남도 김해시 부원동 619-6번지,홀짝단란주점,단란주점
단란주점영업,1,영업,경상남도 김해시 진례면 청천리 289,승민노래주점,단란주점
단란주점영업,1,영업,경상남도 양산시 평산동 108-2번지,똥광 퓨전 노래주점,단란주점
단란주점영업,1,영업,경상남도 양산시 평산동 108-1번지,황금뮤직타운,단란주점
단란주점영업,1,영업,경상남도 양산시 평산동 104-4번지 2층,나는가수다,단란주점
단란주점영업,1,영업,경상남도 양산시 북부동 425-3 2층,아모르파티,단란주점
단란주점영업,1,영업,경상남도 양산시 평산동 108-6 1층,고추잠자리,단란주점
단란주점영업,1,영업,경상남도 양산시 덕계동 669-30번지 2층,쉘부르7080라이브노래타운,단란주점
단란주점영업,1,영업,경상남도 양산시 덕계동 752-12번지,스카이 라이브카페,단란주점
단란주점영업,1,영업,인천광역시 연수구 옥련동 561-4번지 (지하1층),학교종이 땡땡땡,단란주점
단란주점영업,1,영업,인천광역시 연수구 동춘동 813-7번지 1동 지상2층,엠.제이(M.J) 라이브,단란주점
단란주점영업,1,영업,인천광역시 연수구 동춘동 814-4 1동(지하1층),골드문,단란주점
단란주점영업,1,영업,인천광역시 연수구 동춘동 814-8 지하1층,솜,단란주점
단란주점영업,1,영업,인천광역시 연수구 청학동 494-2 지하1층,돈데보이,단란주점
단란주점영업,1,영업,인천광역시 연수구 연수동 611번지 2동(지하1층),클래식,단란주점
단란주점영업,1,영업,인천광역시 연수구 동춘동 813-8번지 지상2층(소암1로 5),라이브 제이제이(Live JJ),단란주점
단란주점영업,1,영업,인천광역시 연수구 동춘동 817-2번지 1동(지하1층),카프라단란주점,단란주점
단란주점영업,1,영업,인천광역시 연수구 선학동 405-15 지하1층(무학길 37),세트,단란주점
